path,filename,archive,market_start,market_end,complete,line_count,book_messages_total,in_window_book_messages,trade_count_window,snapshots,deltas,sequence_breaks,first_book_age,last_book_age,sampled_points,outcome,outcome_source,final_quote_proxy,final_trade_proxy,elapsed_seconds,fatal_error,raw_status,raw_leader,raw_leader_time,raw_pullback_time,raw_confirm_time,raw_entry_side,raw_up_ask_at_entry,raw_down_ask_at_entry,raw_entry_levels,sampled_status,sampled_leader,sampled_leader_time,sampled_pullback_time,sampled_confirm_time,sampled_entry_side,sampled_up_ask_at_entry,sampled_down_ask_at_entry,sampled_entry_levels,duplicate_of
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786788900-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786788900-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786788900,1786789200,False,593,589,0,0,2,587,0,,,301,UNKNOWN,not_extreme,0.505,,0.014049053192138672,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786788900-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786790400-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786790400-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786790400,1786790700,False,216,212,0,0,3,209,0,,,301,UNKNOWN,not_extreme,0.505,,0.0046999454498291016,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786790400-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786787400-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786787400-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786787400,1786787700,False,178,174,0,0,2,172,0,,,301,UNKNOWN,not_extreme,0.505,,0.025945663452148438,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786787400-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786790700-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786790700-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786790700,1786791000,False,243,239,0,0,2,237,0,,,301,UNKNOWN,not_extreme,0.505,,0.004088878631591797,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786790700-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786790100-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786790100-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786790100,1786790400,False,196,192,0,0,3,189,0,,,301,UNKNOWN,not_extreme,0.505,,0.012762784957885742,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786790100-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786791300-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786791300-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786791300,1786791600,False,201,197,0,0,2,195,0,,,301,UNKNOWN,not_extreme,0.505,,0.005417823791503906,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786791300-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786791900-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786791900-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786791900,1786792200,False,119,115,0,0,2,113,0,,,301,UNKNOWN,not_extreme,0.5,,0.002346038818359375,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786791900-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786791000-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786791000-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786791000,1786791300,False,205,201,0,0,3,198,0,,,301,UNKNOWN,not_extreme,0.505,,0.010381937026977539,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786791000-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786792200-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786792200-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786792200,1786792500,False,158,154,0,0,2,152,0,,,301,UNKNOWN,not_extreme,0.505,,0.0070493221282958984,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786792200-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786792800-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786792800-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786792800,1786793100,False,182,178,0,0,2,176,0,,,301,UNKNOWN,not_extreme,0.505,,0.007995128631591797,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786792800-2026-08-15.txt.zst
