trade_no,market_start,filename,entry_side,outcome,win,entry_time,balance_before,target_stake,cash_budget,total_debit,principal,fee,shares,avg_price,effective_cost_per_share,worst_price,levels_used,fill_ratio,pnl,balance_after,peak_balance,drawdown_pct
48,1786796100,polymarket-btc-updown-5m-1786796100-2026-08-15.txt.zst,DOWN,DOWN,True,240.0,284.14221159661054,28.414221159661054,28.414221159661054,28.414221159661054,28.0412722388839,0.37294892077715575,34.618854615906045,0.81,0.8207730000000001,0.81,1.0,1.0,6.204633456244991,290.34684505285554,390.185342038592,25.587454532277576
49,1786799400,polymarket-btc-updown-5m-1786799400-2026-08-15.txt.zst,DOWN,UP,False,240.0,290.34684505285554,29.034684505285554,29.034684505285554,29.034684505285558,28.59433179563281,0.44035270965274526,36.65939973799078,0.78,0.792012,0.78,1.0,1.0000000000000002,-29.034684505285558,261.31216054757,390.185342038592,33.02870907904982
50,1786800300,polymarket-btc-updown-5m-1786800300-2026-08-15.txt.zst,UP,DOWN,False,261.0,261.31216054757,26.131216054757,26.131216054757,26.131216054757,25.7348667665521,0.39634928820490234,32.99418816224628,0.7799818149791397,0.7919945151024428,0.78,2.0,1.0,-26.131216054757,235.18094449281298,390.185342038592,39.72583817114484
51,1786827900,polymarket-btc-updown-5m-1786827900-2026-08-15.txt.zst,DOWN,DOWN,True,238.0,235.18094449281298,23.5180944492813,23.5180944492813,23.5180944492813,23.129518537845495,0.38857591143580433,30.433577023480915,0.76,0.772768,0.76,1.0,1.0,6.915482574199615,242.0964270670126,390.185342038592,37.95347979959032
52,1786830600,polymarket-btc-updown-5m-1786830600-2026-08-15.txt.zst,DOWN,DOWN,True,218.0,242.0964270670126,24.20964270670126,24.20964270670126,24.209642706701263,23.916127687223305,0.29351501947795744,29.00316588822085,0.8246040373453314,0.8347241401164969,0.83,3.0,1.0000000000000002,4.793523181519586,246.8899502485322,390.185342038592,36.724955130653505
53,1786830900,polymarket-btc-updown-5m-1786830900-2026-08-15.txt.zst,UP,DOWN,False,229.0,246.8899502485322,24.68899502485322,24.68899502485322,24.688995024853217,24.336832273030787,0.35216275182243095,30.67979034128848,0.7932528873992525,0.8047315431496633,0.8,2.0,0.9999999999999999,-24.688995024853217,222.20095522367896,390.185342038592,43.052459617588156
54,1786833300,polymarket-btc-updown-5m-1786833300-2026-08-15.txt.zst,DOWN,DOWN,True,240.0,222.20095522367896,22.2200955223679,22.2200955223679,22.2200955223679,22.044947109623795,0.17514841274410323,24.868142819802017,0.8864733996971351,0.8935164834534596,0.89,2.0,1.0,2.6480472974341183,224.84900252111308,390.185342038592,42.3737956566103
55,1786837200,polymarket-btc-updown-5m-1786837200-2026-08-15.txt.zst,UP,UP,True,194.0,224.84900252111308,22.48490025211131,22.48490025211131,22.48490025211131,22.113395212540627,0.37150503957068254,29.09657264807977,0.76,0.772768,0.76,1.0,1.0,6.611672395968462,231.46067491708155,390.185342038592,40.67930032743555
56,1786840800,polymarket-btc-updown-5m-1786840800-2026-08-16.txt.zst,DOWN,DOWN,True,217.0,231.46067491708155,23.146067491708155,23.146067491708155,23.146067491708152,22.80144427190153,0.3446232198066215,29.089305339876915,0.7838428592739303,0.7956899355715619,0.8,3.0,0.9999999999999999,5.9432378481687635,237.4039127652503,390.185342038592,39.156117058397996
57,1786843800,polymarket-btc-updown-5m-1786843800-2026-08-16.txt.zst,UP,UP,True,218.0,237.4039127652503,23.74039127652503,23.74039127652503,23.74039127652503,23.41718274600319,0.3232085305218424,29.169361414818752,0.8028006651563748,0.8138810767541976,0.81,2.0,1.0,5.428970138293721,242.83288290354403,390.185342038592,37.764734668191046
58,1786849200,polymarket-btc-updown-5m-1786849200-2026-08-16.txt.zst,DOWN,DOWN,True,208.0,242.83288290354403,24.283288290354406,24.283288290354406,24.283288290354406,23.914997331450074,0.3682909589043311,30.660252989038554,0.78,0.792012,0.78,1.0,1.0,6.376964698684148,249.2098476022282,390.185342038592,36.1303922130474
59,1786850700,polymarket-btc-updown-5m-1786850700-2026-08-16.txt.zst,UP,UP,True,247.0,249.2098476022282,24.920984760222822,24.920984760222822,24.920984760222822,24.526114319676037,0.3948704405467842,31.85209651905979,0.77,0.782397,0.77,1.0,1.0,6.931111758836966,256.14095936106514,390.185342038592,34.35402826184817
60,1786853100,polymarket-btc-updown-5m-1786853100-2026-08-16.txt.zst,UP,UP,True,183.0,256.14095936106514,25.614095936106516,25.614095936106516,25.614095936106516,25.225621367053886,0.38847456905262984,32.34054021417165,0.78,0.792012,0.78,1.0,1.0,6.726444278065131,262.86740363913026,390.185342038592,32.63011822388477
61,1786856400,polymarket-btc-updown-5m-1786856400-2026-08-16.txt.zst,DOWN,UP,False,214.0,262.86740363913026,26.286740363913026,26.286740363913026,26.28674036391303,25.864000597731394,0.4227397661816342,33.743191436746294,0.7664953875573705,0.7790235376280028,0.771,4.0,1.0000000000000002,-26.28674036391303,236.58066327521723,390.185342038592,39.3671064014963
62,1786859100,polymarket-btc-updown-5m-1786859100-2026-08-16.txt.zst,DOWN,DOWN,True,232.0,236.58066327521723,23.658066327521723,23.658066327521723,23.658066327521727,23.26717774146511,0.39088858605661386,30.614707554559356,0.76,0.7727680000000001,0.76,1.0,1.0000000000000002,6.956641227037629,243.53730450225487,390.185342038592,37.58419954223515
63,1786871400,polymarket-btc-updown-5m-1786871400-2026-08-16.txt.zst,DOWN,DOWN,True,213.0,243.53730450225487,24.353730450225488,24.353730450225488,24.353730450225488,24.06667644752646,0.2870540026990279,29.017854644148777,0.8293747674547443,0.8392670908611166,0.85,2.0,1.0,4.664124193923289,248.20142869617817,390.185342038592,36.388838340413784
64,1786909500,polymarket-btc-updown-5m-1786909500-2026-08-16.txt.zst,DOWN,DOWN,True,198.0,248.20142869617817,24.82014286961782,24.82014286961782,24.82014286961781,24.62888658353308,0.19125628608473158,27.702985092814536,0.8890336727619003,0.8959374878361227,0.9,3.0,0.9999999999999997,2.8828422231967252,251.0842709193749,390.185342038592,35.649999149752546
65,1786914300,polymarket-btc-updown-5m-1786914300-2026-08-16.txt.zst,DOWN,DOWN,True,218.0,251.0842709193749,25.10842709193749,25.10842709193749,25.10842709193749,24.710586646922046,0.3978404450154449,32.09167097002863,0.77,0.782397,0.77,1.0,1.0,6.983243878091141,258.067514797466,390.185342038592,33.860274338050004
66,1786915800,polymarket-btc-updown-5m-1786915800-2026-08-16.txt.zst,DOWN,DOWN,True,241.0,258.067514797466,25.8067514797466,25.8067514797466,25.8067514797466,25.50326265416207,0.3034888255845288,30.726822474894064,0.83,0.839877,0.83,1.0,1.0,4.920070995147462,262.98758579261346,390.185342038592,32.59931692498019
67,1786923300,polymarket-btc-updown-5m-1786923300-2026-08-16.txt.zst,UP,UP,True,182.0,262.98758579261346,26.298758579261346,26.298758579261346,26.298758579261342,26.152305667523212,0.14645291173812994,28.426419203829578,0.92,0.925152,0.92,1.0,0.9999999999999999,2.127660624568236,265.1152464171817,390.185342038592,32.05402206242797
68,1786936500,polymarket-btc-updown-5m-1786936500-2026-08-17.txt.zst,DOWN,DOWN,True,198.0,265.1152464171817,26.51152464171817,26.51152464171817,26.51152464171817,26.145487812345337,0.36603682937283466,32.68185976543167,0.8,0.8112,0.8,1.0,1.0,6.170335123713496,271.2855815408952,390.185342038592,30.472636382618607
69,1786944600,polymarket-btc-updown-5m-1786944600-2026-08-17.txt.zst,UP,UP,True,221.0,271.2855815408952,27.128558154089518,27.128558154089518,27.12855815408952,26.68032863305421,0.4482295210353107,35.10569556980817,0.76,0.772768,0.76,1.0,1.0000000000000002,7.977137415718648,279.2627189566138,390.185342038592,28.428188127837767
70,1786946100,polymarket-btc-updown-5m-1786946100-2026-08-17.txt.zst,DOWN,DOWN,True,193.0,279.2627189566138,27.926271895661383,27.926271895661383,27.92627189566138,27.559727519650036,0.3665443760113454,34.02435496253091,0.81,0.820773,0.81,1.0,0.9999999999999999,6.098083066869528,285.36080202348336,390.185342038592,26.86531981632995
71,1786957800,polymarket-btc-updown-5m-1786957800-2026-08-17.txt.zst,UP,UP,True,202.0,285.36080202348336,28.536080202348337,28.536080202348337,28.536080202348337,28.20049431994104,0.33558588240729853,33.97649918065186,0.83,0.839877,0.83,1.0,1.0,5.440418978303519,290.80122100178687,390.185342038592,25.471003220560597
72,1786958100,polymarket-btc-updown-5m-1786958100-2026-08-17.txt.zst,DOWN,DOWN,True,186.0,290.80122100178687,29.080122100178688,29.080122100178688,29.080122100178688,29.01918181836013,0.06094028181855633,29.91668228696921,0.97,0.9720369999999999,0.97,1.0,1.0,0.8365601867905212,291.6377811885774,390.185342038592,25.256602499503327
73,1786958400,polymarket-btc-updown-5m-1786958400-2026-08-17.txt.zst,DOWN,DOWN,True,183.0,291.6377811885774,29.16377811885774,29.16377811885774,29.163778118857735,28.800886943371257,0.362891175486478,35.12303285776983,0.82,0.830332,0.82,1.0,0.9999999999999999,5.959254738912094,297.59703592748946,390.185342038592,23.72931428622066
