trade_no,market_start,filename,entry_side,outcome,win,entry_time,balance_before,target_stake,cash_budget,total_debit,principal,fee,shares,avg_price,effective_cost_per_share,worst_price,levels_used,fill_ratio,pnl,balance_after,peak_balance,drawdown_pct
40,1786815300,polymarket-btc-updown-5m-1786815300-2026-08-15.txt.zst,UP,DOWN,False,187.303,234.77328424485177,23.47732842448518,23.47732842448518,23.477328424485176,23.09119616620921,0.38613225827596825,30.339215800271703,0.7611006269319069,0.7738277936727331,0.77,2.0,0.9999999999999999,-23.477328424485176,211.2959558203666,310.19716731479724,31.883338055780108
41,1786830300,polymarket-btc-updown-5m-1786830300-2026-08-15.txt.zst,DOWN,DOWN,True,238.91,211.2959558203666,21.12959558203666,21.12959558203666,21.129595582036664,20.780483459910172,0.34911212212649084,27.342741394618646,0.7600000000000001,0.7727680000000001,0.76,1.0,1.0000000000000002,6.213145812581981,217.50910163294859,310.19716731479724,29.880371405128297
42,1786830900,polymarket-btc-updown-5m-1786830900-2026-08-15.txt.zst,UP,DOWN,False,227.351,217.50910163294859,21.75091016329486,21.75091016329486,21.75091016329486,21.391532418661352,0.3593777446335107,28.146753182449146,0.76,0.772768,0.76,1.0,1.0,-21.75091016329486,195.75819146965372,310.19716731479724,36.89233426461547
43,1786834800,polymarket-btc-updown-5m-1786834800-2026-08-15.txt.zst,UP,UP,True,215.258,195.75819146965372,19.575819146965372,19.575819146965372,19.575819146965372,19.286689060123642,0.28913008684173097,24.547611325154552,0.7856849615489915,0.7974633005088173,0.8,4.0,1.0,4.97179217818918,200.72998364784291,310.19716731479724,35.289549744941354
44,1786838700,polymarket-btc-updown-5m-1786838700-2026-08-16.txt.zst,UP,UP,True,204.118,200.72998364784291,20.072998364784294,20.072998364784294,20.072998364784294,19.77233683333428,0.3006615314500139,25.260299789030732,0.7827435540539548,0.794646086247202,0.79,2.0,1.0,5.187301424246439,205.91728507208936,310.19716731479724,33.61729030132683
45,1786840800,polymarket-btc-updown-5m-1786840800-2026-08-16.txt.zst,DOWN,DOWN,True,216.419,205.91728507208936,20.591728507208938,20.591728507208938,20.591728507208934,20.263229512064694,0.3284989951442416,26.371077288395707,0.7683883858996271,0.7808451767827509,0.77,2.0,0.9999999999999998,5.779348781186773,211.69663385327613,310.19716731479724,31.754169231842106
46,1786849200,polymarket-btc-updown-5m-1786849200-2026-08-16.txt.zst,DOWN,DOWN,True,207.436,211.69663385327613,21.169663385327613,21.169663385327613,21.169663385327613,20.82323726535539,0.3464261199722217,27.315892552409597,0.7623121677390888,0.7749943863159686,0.77,2.0,1.0,6.146229167081984,217.8428630203581,310.19716731479724,29.772774875379593
47,1786852800,polymarket-btc-updown-5m-1786852800-2026-08-16.txt.zst,UP,UP,True,228.422,217.8428630203581,21.78428630203581,21.78428630203581,21.784286302035813,21.436498673394166,0.34778762864164603,27.904543731680732,0.768208177116932,0.7806716537458939,0.77,2.0,1.0000000000000002,6.120257429644919,223.963120450003,310.19716731479724,27.79975317352959
48,1786853100,polymarket-btc-updown-5m-1786853100-2026-08-16.txt.zst,UP,UP,True,181.525,223.963120450003,22.3963120450003,22.3963120450003,22.3963120450003,22.0262706972859,0.37004134771440306,28.98193512800776,0.76,0.772768,0.76,1.0,1.0,6.585623083007459,230.54874353301045,310.19716731479724,25.67670893685409
49,1786857000,polymarket-btc-updown-5m-1786857000-2026-08-16.txt.zst,UP,UP,True,181.349,230.54874353301045,23.054874353301045,23.054874353301045,23.054874353301045,22.67395196036688,0.3809223929341636,29.83414731627221,0.76,0.772768,0.76,1.0,1.0,6.7792729629711665,237.32801649598161,310.19716731479724,23.491236702643985
50,1786859100,polymarket-btc-updown-5m-1786859100-2026-08-16.txt.zst,DOWN,DOWN,True,231.063,237.32801649598161,23.732801649598162,23.732801649598162,23.732801649598162,23.34067825491558,0.3921233946825817,30.711418756467868,0.76,0.772768,0.76,1.0,1.0,6.978617106869706,244.30663360285132,310.19716731479724,21.241500779108748
51,1786892700,polymarket-btc-updown-5m-1786892700-2026-08-16.txt.zst,DOWN,DOWN,True,206.521,244.30663360285132,24.430663360285134,24.430663360285134,24.430663360285134,24.033090601599383,0.39757275868575004,31.471546235843356,0.7636450532649006,0.7762778217887729,0.77,2.0,1.0,7.040882875558221,251.34751647840955,310.19716731479724,18.97169189061786
52,1786915800,polymarket-btc-updown-5m-1786915800-2026-08-16.txt.zst,DOWN,DOWN,True,240.183,251.34751647840955,25.134751647840957,25.134751647840957,25.134751647840957,24.72602268265029,0.4087289651906696,32.37145802941596,0.7638217178905484,0.7764479321568091,0.77,2.0,1.0,7.236706381575004,258.58422285998455,310.19716731479724,16.63875428057483
53,1786923300,polymarket-btc-updown-5m-1786923300-2026-08-16.txt.zst,UP,UP,True,181.485,258.58422285998455,25.858422285998458,25.858422285998458,25.858422285998454,25.56404382582727,0.29437846017118646,30.604757442149733,0.8352964036440866,0.8449151193201586,0.85,3.0,0.9999999999999999,4.746335156151279,263.33055801613585,310.19716731479724,15.10865160515788
54,1786936500,polymarket-btc-updown-5m-1786936500-2026-08-17.txt.zst,DOWN,DOWN,True,197.507,263.33055801613585,26.333055801613586,26.333055801613586,26.333055801613586,25.898795198911117,0.43426060270246897,34.05687688170275,0.7604571402384049,0.77320818033556,0.77,2.0,1.0,7.723821080089163,271.05437909622503,310.19716731479724,12.618680098664134
55,1786958400,polymarket-btc-updown-5m-1786958400-2026-08-17.txt.zst,DOWN,DOWN,True,182.503,271.05437909622503,27.105437909622506,27.105437909622506,27.105437909622502,26.70973166629438,0.3957062433281213,33.887164582867975,0.78819612071639,0.7998732925364299,0.8,4.0,0.9999999999999999,6.781726673245473,277.8361057694705,310.19716731479724,10.432416848115754
